nodename,timestamp,cpu_load,mem_load,power
comput2,2023-05-11 15:25:59,3.67,1.2794,348
comput2,2023-05-11 15:26:15,3.6,1.2778,330
comput2,2023-05-11 15:26:30,3.58,1.2765,324
comput2,2023-05-11 15:26:49,3.81,1.2756,312
comput2,2023-05-11 15:27:06,3.74,1.2746,318
comput2,2023-05-11 15:27:23,3.63,1.273,300
comput2,2023-05-11 15:28:41,99.5,12.25,498
comput2,2023-05-11 15:30:12,99.98,12.255,564
comput2,2023-05-11 15:30:53,99.93,12.254,690
comput2,2023-05-11 15:31:28,99.95,12.255,522
comput2,2023-05-11 15:31:44,99.84,12.254,522
comput2,2023-05-11 15:32:24,3.61,1.2816,318
comput2,2023-05-11 15:32:44,3.6,1.2792,312
comput2,2023-05-11 15:32:59,3.65,1.2785,312
comput2,2023-05-11 15:33:15,3.6,1.277,312
comput2,2023-05-11 15:33:32,3.58,1.2767,318
comput2,2023-05-11 15:33:55,99.98,10.106,306
comput2,2023-05-11 15:34:59,99.96,15.285,528
comput2,2023-05-11 15:35:35,99.96,15.28,570
comput2,2023-05-11 15:35:57,99.96,15.283,522
comput2,2023-05-11 15:37:37,99.98,15.283,522
comput2,2023-05-11 15:39:01,99.91,15.282,546
comput2,2023-05-11 15:41:30,99.95,15.28,558
comput2,2023-05-11 15:42:39,3.63,1.2824,558
comput2,2023-05-11 15:42:56,3.58,1.2799,318
comput2,2023-05-11 15:43:14,3.6,1.278,318
comput2,2023-05-11 15:43:30,3.6,1.2765,318
comput2,2023-05-11 15:43:45,3.58,1.2746,312
comput2,2023-05-11 15:44:00,3.6,1.2744,312
comput2,2023-05-11 15:44:16,79.03,1.5369,318
comput2,2023-05-11 15:44:35,99.96,20.032,510
comput2,2023-05-11 15:46:52,99.95,20.989,540
comput2,2023-05-11 15:53:33,99.95,20.992,510
comput2,2023-05-11 15:54:56,99.98,20.993,534
comput2,2023-05-11 16:00:09,3.58,1.2842,450
comput2,2023-05-11 16:00:27,3.63,1.282,318
comput2,2023-05-11 16:00:56,3.6,1.2793,324
comput2,2023-05-11 16:01:13,3.6,1.2774,300
comput2,2023-05-11 16:01:30,3.6,1.2769,312
comput2,2023-05-11 16:01:54,3.6,1.2749,330
comput2,2023-05-11 16:02:13,3.61,1.2735,318
comput2,2023-05-11 16:02:31,3.6,1.2729,312
comput2,2023-05-11 16:02:53,3.6,1.2716,294
comput2,2023-05-11 16:03:10,3.58,1.2717,318
comput2,2023-05-11 16:03:29,3.58,1.2708,318
comput2,2023-05-11 16:03:45,3.58,1.27,300
comput2,2023-05-11 16:03:59,3.67,1.2699,306
comput2,2023-05-11 16:04:15,3.61,1.2701,318
comput2,2023-05-11 16:04:34,3.63,1.2707,318
comput2,2023-05-11 16:04:57,3.72,1.2693,300
comput2,2023-05-11 16:05:12,3.58,1.2684,294
comput2,2023-05-11 16:05:28,3.58,1.2677,318
comput2,2023-05-11 16:05:49,3.6,1.267,306
comput2,2023-05-11 16:06:06,3.63,1.2674,312
comput2,2023-05-11 16:06:20,3.6,1.267,306
comput2,2023-05-11 16:06:34,4.63,1.2677,324
comput2,2023-05-11 16:06:59,3.65,1.2674,312
comput2,2023-05-11 16:07:15,3.6,1.2666,306
comput2,2023-05-11 16:07:30,3.6,1.2667,300
comput2,2023-05-11 16:07:54,3.6,1.2659,306
comput2,2023-05-11 16:08:11,3.6,1.266,294
comput2,2023-05-11 16:08:29,3.6,1.2655,318
comput2,2023-05-11 16:08:52,3.58,1.265,306
comput2,2023-05-11 16:09:09,4.17,1.267,318
comput2,2023-05-11 16:09:27,3.63,1.2661,294
comput2,2023-05-11 16:09:44,3.58,1.2653,318
comput2,2023-05-11 16:09:59,3.7,1.2653,294
comput2,2023-05-11 16:10:14,3.6,1.2648,318
comput2,2023-05-11 16:10:28,3.6,1.2648,312
comput2,2023-05-11 16:10:43,3.69,1.2645,300
comput2,2023-05-11 16:10:57,3.61,1.2643,306
comput2,2023-05-11 16:11:13,3.6,1.2645,300
comput2,2023-05-11 16:11:31,3.67,1.264,312
comput2,2023-05-11 16:11:54,3.63,1.2641,300
comput2,2023-05-11 16:12:09,3.6,1.2638,306
comput2,2023-05-11 16:12:28,3.6,1.2636,294
comput2,2023-05-11 16:12:46,3.58,1.2628,288
comput2,2023-05-11 16:13:02,3.6,1.263,300
comput2,2023-05-11 16:13:15,3.58,1.263,318
comput2,2023-05-11 16:13:30,3.6,1.2625,300
comput2,2023-05-11 16:13:45,3.6,1.2621,306
comput2,2023-05-11 16:13:59,3.67,1.2624,300
comput2,2023-05-11 16:14:16,3.58,1.2634,324
comput2,2023-05-11 16:14:36,3.61,1.2637,318
comput2,2023-05-11 16:14:56,3.58,1.2632,306
comput2,2023-05-11 16:15:10,3.58,1.2632,306
comput2,2023-05-11 16:15:27,3.6,1.2624,300
comput2,2023-05-11 16:15:46,3.61,1.263,336
comput2,2023-05-11 16:16:01,3.79,1.2628,312
comput2,2023-05-11 16:16:16,3.6,1.2626,312
comput2,2023-05-11 16:16:30,3.6,1.2619,300
comput2,2023-05-11 16:16:46,3.58,1.2618,324
